dma,geoCode,2004+cancer,2004+cardiovascular,2004+stroke,2004+depression,2004+rehab,2004+vaccine,2004+diarrhea,2004+obesity,2004+diabetes,2006+cancer,2006+cardiovascular,2006+stroke,2006+depression,2006+rehab,2006+vaccine,2006+diarrhea,2006+obesity,2006+diabetes
Greenwood-Greenville MS,647,34,0,33,97,52,100,0,0,65,74,0,65,33,0,83,0,51,86
Champaign & Springfield-Decatur IL,648,44,7,13,55,13,44,16,35,42,58,25,23,27,20,49,32,42,46
Evansville IN,649,53,6,22,55,26,20,11,35,37,52,12,20,23,53,40,38,27,49
Oklahoma City OK,650,41,5,12,39,17,33,16,31,38,46,17,20,21,29,29,42,26,40
Lubbock TX,651,37,5,19,47,20,15,18,35,37,46,26,25,21,48,44,29,30,40
Omaha NE,652,46,9,15,41,17,36,20,35,45,53,16,23,25,28,38,58,27,43
Panama City FL,656,36,5,17,40,21,22,29,16,23,43,15,25,18,28,24,27,16,28
Sherman TX-Ada OK,657,48,22,16,48,26,50,43,38,41,53,72,13,28,16,13,50,19,32
Green Bay-Appleton WI,658,44,7,16,51,13,23,15,29,34,48,15,22,27,22,34,37,25,38
Nashville TN,659,50,10,18,47,23,27,17,31,44,52,23,23,25,41,41,45,28,47
San Angelo TX,661,30,0,15,57,47,0,0,33,29,38,44,10,16,65,26,24,38,33
Abilene-Sweetwater TX,662,27,0,16,67,17,50,32,28,45,43,38,20,21,36,36,57,32,31
Madison WI,669,49,4,13,48,13,25,12,32,37,56,16,25,25,25,45,36,23,38
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,48,5,18,34,23,17,12,50,36,44,19,19,25,28,32,19,21,37
Tulsa OK,671,35,4,19,36,21,44,17,18,39,50,17,26,18,33,27,29,22,44
Columbus-Tupelo-West Point MS,673,48,8,14,29,19,37,16,34,26,50,33,20,24,38,49,83,50,39
Peoria-Bloomington IL,675,48,7,14,51,21,27,5,43,39,47,20,30,29,31,37,35,34,46
Duluth MN-Superior WI,676,45,9,15,64,9,57,23,59,45,52,19,25,33,31,57,32,35,42
Wichita-Hutchinson KS,678,39,6,21,53,13,40,18,44,38,44,22,23,26,27,46,35,35,39
Des Moines-Ames IA,679,46,7,15,48,15,38,15,32,42,50,15,22,27,24,45,40,34,42
Davenport IA-Rock Island-Moline IL,682,43,7,18,44,16,36,14,26,40,52,29,27,23,31,33,40,23,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,39,7,18,37,19,22,10,25,37,49,17,21,20,30,31,40,22,37
Minot-Bismarck-Dickinson(Williston) ND,687,46,6,16,64,14,31,21,23,48,56,22,28,39,40,52,48,29,45
Huntsville-Decatur (Florence) AL,691,41,7,18,48,18,29,12,20,34,47,16,19,18,33,32,35,21,39
Beaumont-Port Arthur TX,692,45,10,18,20,8,35,20,39,47,44,23,26,19,35,30,20,15,36
Little Rock-Pine Bluff AR,693,45,8,13,44,19,30,14,30,44,49,21,23,21,40,49,41,30,48
Montgomery (Selma) AL,698,43,7,11,40,26,33,13,28,47,48,26,19,27,40,41,65,35,45
La Crosse-Eau Claire WI,702,44,5,16,56,15,32,14,54,33,47,19,23,29,24,43,43,31,40
Wausau-Rhinelander WI,705,46,6,13,45,31,26,19,32,39,51,23,30,25,46,50,62,27,35
Tyler-Longview(Lufkin & Nacogdoches) TX,709,44,9,19,58,28,26,12,30,56,48,28,19,25,37,41,54,27,42
Hattiesburg-Laurel MS,710,49,29,15,21,18,34,58,25,54,46,21,10,29,39,50,46,58,41
Meridian MS,711,33,0,0,61,100,0,0,73,63,71,100,21,26,79,54,100,100,16
Baton Rouge LA,716,43,12,19,34,20,25,16,38,49,45,21,27,20,34,42,42,30,39
Quincy IL-Hannibal MO-Keokuk IA,717,42,13,15,66,16,39,23,63,32,50,48,26,34,25,24,27,58,32
Jackson MS,718,49,13,17,49,19,24,20,35,47,46,25,20,26,35,30,44,32,47
Lincoln & Hastings-Kearney NE,722,41,7,18,43,17,25,18,42,46,49,17,23,32,32,31,34,38,42
Fargo-Valley City ND,724,45,6,17,53,10,35,17,32,38,51,24,26,28,27,47,61,34,51
Sioux Falls(Mitchell) SD,725,49,7,14,64,16,38,12,47,46,51,19,26,30,32,60,53,30,45
Jonesboro AR,734,52,0,15,66,27,35,0,52,38,51,29,17,25,61,35,33,40,28
Bowling Green KY,736,39,5,14,54,18,25,18,47,31,54,23,24,22,43,23,50,68,44
Mankato MN,737,50,22,17,59,8,44,12,37,51,53,15,23,36,20,18,59,47,38
North Platte NE,740,35,100,57,55,0,0,100,0,75,52,71,45,18,100,0,0,0,33
Anchorage AK,743,35,5,16,35,13,31,11,24,38,43,16,26,20,17,35,51,19,43
Honolulu HI,744,43,6,20,34,17,29,17,34,40,41,15,27,18,21,37,42,27,36
Fairbanks AK,745,36,12,32,47,0,43,18,52,36,39,12,22,16,8,65,17,21,41
Biloxi-Gulfport MS,746,37,6,15,23,16,27,17,20,37,42,14,31,18,26,15,28,9,31
Juneau AK,747,46,0,19,54,15,22,28,0,58,56,0,41,9,39,29,41,0,51
Laredo TX,749,30,0,19,20,0,65,0,32,46,33,25,12,16,12,0,38,26,45
Denver CO,751,40,6,15,37,16,26,14,24,33,45,15,21,20,28,37,43,20,33
Colorado Springs-Pueblo CO,752,32,5,19,32,20,24,12,26,26,41,14,23,20,25,30,39,24,34
Phoenix AZ,753,40,5,17,33,17,29,11,23,35,45,17,23,17,29,32,40,20,36
Butte-Bozeman MT,754,46,0,15,35,17,42,20,62,27,47,16,27,34,36,70,50,19,32
Great Falls MT,755,46,12,34,54,15,72,0,32,34,44,22,42,34,16,60,50,31,40
"Billings, MT",756,34,18,20,100,25,59,20,35,49,45,33,39,39,20,32,49,27,33
Boise ID,757,39,4,16,38,22,30,13,42,39,42,18,24,25,29,34,41,33,39
Idaho Falls-Pocatello ID,758,40,0,16,36,19,18,31,66,34,45,13,28,35,27,49,29,52,44
Cheyenne WY-Scottsbluff NE,759,35,9,17,46,20,40,11,29,46,41,21,20,26,15,27,27,34,31
Twin Falls ID,760,55,16,28,52,19,56,32,27,24,67,26,42,27,12,43,39,13,28
Missoula MT,762,41,4,16,47,16,36,16,30,31,41,13,28,22,27,48,43,35,39
Rapid City SD,764,41,0,15,72,14,55,18,20,40,45,14,37,25,40,54,50,31,40
El Paso TX,765,43,5,13,43,8,28,7,51,46,40,24,18,24,19,40,18,42,47
Helena MT,766,36,16,19,52,17,0,36,28,67,52,20,25,21,27,57,78,28,43
Casper-Riverton WY,767,45,0,17,42,21,27,46,60,37,42,29,28,33,23,23,88,32,25
Salt Lake City UT,770,42,6,16,39,16,21,14,35,39,42,15,24,22,30,31,41,26,41
Yuma AZ-El Centro CA,771,36,0,23,45,19,54,0,27,31,33,43,30,23,10,69,32,39,37
